year,Switzerland,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH
2021,8.04910039167809,5.92290797561958,3.69881109643328,3.6329106169209,5.93126735010142,3.2141267250333803,0.82669028638913,9.50721006549653,4.6648268494614005,9.86036519871106,13.10625175217269,6.91562339221402,6.34825444420646,2.93433587153917,9.359296482412061,11.07828655834564,3.39381749814175,4.13458059848054,2.9782261741906,7.77867628763374,3.29519588778848,20.87890762825488,11.443278558701241,11.609025189119,22.71898981084618,4.67693806710919,3.65662155088611
2022,7.93325121924852,5.76933016332437,3.6097010716299995,3.59215590445354,5.7646596026046595,3.19663045887829,0.7901483629638901,9.32020501753439,4.55972062593935,9.755749178688749,12.78875857732578,6.660984444917959,6.18769581315864,2.92211917164273,9.08977866202437,10.83500052648204,3.24705228127796,4.03205095279675,2.87453356223663,7.65182938153903,3.2422646477946,20.84286954462947,11.172749391727491,10.887029470888331,23.21718843436002,4.1592649310872805,3.5832949283472604
2023,7.55486944159854,5.539420420227461,3.4896810506566602,3.3971700414735304,5.4246611934505005,3.17997293640054,0.75065000419357,7.70857877262504,4.38945287335895,9.05722226181144,12.25925576505788,6.20397799407532,5.647864121790501,2.7436229731011097,8.677327383165979,10.28428093645485,2.8207547986597503,3.2162397095669,3.9884188969705496,7.0179766273010395,2.6066667657418,20.310984931207678,10.36972848064702,10.371339176680559,22.59056789875788,3.91648134420558,3.3201944553935
2024,7.07675488422244,5.32813640029184,3.4688549048862303,3.33191204239507,5.300354828499549,2.83253756700547,0.7036649214659599,7.46811419167319,4.561869945718399,9.21895006402048,12.045478780123691,6.01516427969671,4.82253632835736,2.6401286944453197,8.430160692212601,9.813573523250941,2.72031908280958,3.06532919191404,3.81897522522522,6.74810757585082,2.48581224875857,16.02297087683218,10.05714285714285,9.85949925938708,22.23576730107393,3.67996054983665,3.1864812766906003
