Sistema de calefacción,Porcentaje
Electricidad,34.850147183569206
Fuel oil,23.032409271981567
Gas,17.32949732047576
Calefacción urbana,12.37886311733633
Bomba de calor,7.07675488422244
Biomasa,4.36506635898569
Sin sistema de calefacción,0.36375090062789
Otros,0.31614330718896
Solar térmica,0.28736765561211003
