station_canton,year,HDD_mean,CDD_mean,n_stations
AG,2007,2842.0,0.7249999999999996,4
AG,2008,3030.175,0.7749999999999995,4
AG,2009,3005.7250000000004,0.125,4
AG,2010,2950.92,2.3999999999999977,5
AG,2011,2792.06,4.579999999999999,5
AG,2012,3039.0,1.5800000000000005,5
AG,2013,3239.7,7.560000000000002,5
AG,2014,2649.8,1.4,5
AG,2015,2875.92,31.76000000000001,5
AG,2016,3008.54,2.5400000000000014,5
AG,2017,2993.52,7.32,5
AG,2018,2659.96,18.98,5
AG,2019,2864.92,19.72,5
AG,2020,2718.96,3.6999999999999993,5
AG,2021,3107.54,1.4600000000000002,5
AG,2022,2587.42,17.98,5
AG,2023,2582.6400000000003,12.760000000000002,5
AG,2024,2672.04,2.12,5
AI,2000,6811.4,0.0,1
AI,2001,6960.4,0.0,1
AI,2002,6723.6,0.0,1
AI,2003,6587.4,0.0,1
AI,2004,7070.6,0.0,1
AI,2005,7163.4,0.0,1
AI,2006,6647.9,0.0,1
AI,2007,6747.2,0.0,1
AI,2008,6912.2,0.0,1
AI,2009,6910.1,0.0,1
AI,2010,7329.1,0.0,1
AI,2011,6442.0,0.0,1
AI,2012,6819.0,0.0,1
AI,2013,6942.5,0.0,1
AI,2014,6591.8,0.0,1
AI,2015,6489.2,0.0,1
AI,2016,6805.1,0.0,1
AI,2017,6766.8,0.0,1
AI,2018,6431.9,0.0,1
AI,2019,6593.5,0.0,1
AI,2020,6468.1,0.0,1
AI,2021,6904.8,0.0,1
AI,2022,6310.3,0.0,1
AI,2023,6436.2,0.0,1
AI,2024,6258.3,0.0,1
BE,2000,3771.5181818181813,0.0,11
BE,2001,3942.209090909091,0.2363636363636365,11
BE,2002,3766.027272727273,1.0181818181818185,11
BE,2003,3832.5,5.863636363636365,11
BE,2004,4002.127272727273,0.054545454545454675,11
BE,2005,4138.400000000001,0.6363636363636367,11
BE,2006,3849.3,0.8181818181818179,11
BE,2007,3757.6363636363635,0.30909090909090897,11
